brand,condition,ram_gb,storage_gb,carrier,price,usd_discount,user_rating,num_support_tickets_30d,days_since_purchase,expedited_shipping,returned
Samsung,New,12,256,Unlocked,834.96,163.21,5.0,1,102,1,0
Apple,Refurbished,6,128,Unlocked,893.56,118.05,3.78,0,60,0,0
Samsung,New,8,256,Unlocked,860.62,186.16,4.07,0,68,0,0
Apple,New,12,128,AT&T,762.47,114.95,4.83,0,25,0,0
Google,OpenBox,6,256,AT&T,732.36,191.15,4.75,0,18,0,0
Samsung,New,6,128,Unlocked,1186.6,98.0,4.09,2,44,0,0
Samsung,New,8,256,Unlocked,834.44,0.0,4.16,0,98,1,0
Apple,Refurbished,12,256,Unlocked,1386.35,42.14,4.44,1,2,1,1
Samsung,New,12,512,Unlocked,966.22,141.1,3.48,0,79,0,0
Samsung,New,6,256,AT&T,786.28,139.92,4.66,1,118,0,1
Apple,New,16,256,Unlocked,971.59,61.36,4.94,0,82,0,0
Apple,OpenBox,6,256,Unlocked,873.97,188.26,4.21,0,36,0,1
Xiaomi,OpenBox,8,128,Unlocked,1145.24,58.76,3.69,1,36,0,0
OnePlus,New,16,256,Unlocked,593.1,107.72,5.0,1,40,0,0
Google,New,12,128,T-Mobile,453.74,106.06,4.51,0,18,1,0
Apple,New,16,256,Unlocked,929.42,0.17,4.75,0,72,0,0
Xiaomi,New,12,64,T-Mobile,1033.85,73.37,3.74,0,93,0,0
Google,OpenBox,12,128,Verizon,912.9,222.82,3.74,1,62,0,1
Google,New,8,256,Verizon,997.94,24.66,4.61,0,6,0,0
Samsung,New,8,128,Unlocked,965.6,117.51,4.91,0,103,0,0
Apple,New,16,128,Verizon,524.31,10.74,3.84,0,48,0,0
Apple,New,12,128,Verizon,911.87,24.04,4.35,1,61,0,0
OnePlus,OpenBox,8,256,Unlocked,1139.69,0.0,3.61,1,61,0,0
Samsung,New,8,128,T-Mobile,887.79,136.46,4.05,0,76,1,0
Apple,New,8,128,Unlocked,561.81,27.72,4.27,2,3,0,0
Apple,OpenBox,8,512,Unlocked,776.55,156.05,4.64,0,29,0,0
Samsung,Refurbished,12,512,Unlocked,972.49,48.12,3.35,0,72,1,0
Apple,New,6,64,Verizon,1245.04,87.68,5.0,0,47,0,0
OnePlus,Refurbished,8,256,Unlocked,419.6,104.68,4.31,1,15,0,0
Google,New,16,64,Unlocked,929.47,0.0,5.0,0,110,1,0
Google,OpenBox,8,512,Unlocked,644.91,92.22,4.75,0,29,1,0
Samsung,New,8,128,Unlocked,961.7,100.99,4.83,1,27,0,0
Samsung,New,8,128,Unlocked,979.32,148.4,5.0,1,119,0,1
Samsung,New,6,128,T-Mobile,798.71,22.43,4.01,0,28,0,0
Samsung,New,8,256,Unlocked,988.95,30.98,4.47,1,67,1,0
Apple,New,6,128,T-Mobile,1100.78,119.57,3.9,1,62,0,0
Samsung,New,6,256,Verizon,813.79,164.74,4.35,1,116,0,0
Apple,New,6,128,AT&T,555.82,44.45,4.76,0,114,0,0
Samsung,New,8,256,T-Mobile,1163.63,5.89,4.96,0,59,0,0
Apple,New,6,256,Unlocked,1032.31,61.0,4.21,2,6,0,0
Apple,New,16,128,Verizon,974.03,19.2,3.8,0,96,0,0
Apple,Refurbished,6,128,Unlocked,697.99,103.87,4.44,0,77,0,0
Samsung,Refurbished,8,128,Unlocked,1066.8,15.21,3.97,1,5,0,0
Apple,New,12,256,Unlocked,1299.33,138.37,4.11,1,17,0,0
Xiaomi,New,6,64,Verizon,823.31,92.76,4.74,1,35,0,0
Samsung,New,8,256,AT&T,870.79,140.25,4.64,1,101,0,0
Apple,New,12,256,Unlocked,615.66,0.0,4.82,1,34,1,0
Samsung,OpenBox,8,256,AT&T,691.7,0.0,4.23,1,106,1,0
Apple,New,8,256,Unlocked,613.59,157.56,4.9,1,9,0,0
Xiaomi,New,12,64,Unlocked,878.78,36.83,4.41,1,61,1,0
Samsung,New,12,128,Unlocked,775.03,0.0,4.26,1,114,0,0
Google,New,8,256,Verizon,932.02,67.84,3.85,2,78,0,0
Apple,OpenBox,6,128,Unlocked,653.78,94.54,3.36,0,61,0,0
Samsung,New,6,256,Unlocked,813.14,70.52,3.62,1,47,0,1
Samsung,New,12,512,Unlocked,640.22,108.08,4.51,0,71,0,1
Xiaomi,New,8,64,Verizon,891.27,99.95,3.95,1,31,0,1
Samsung,Refurbished,6,128,AT&T,490.89,96.81,3.58,0,62,0,0
Samsung,New,8,128,Unlocked,883.35,160.9,4.19,1,7,1,0
Apple,OpenBox,16,128,AT&T,788.68,79.15,4.54,1,30,0,1
Apple,OpenBox,6,512,Verizon,889.81,77.39,4.61,1,87,0,0
Samsung,New,6,512,Unlocked,486.5,128.17,4.39,1,110,0,0
Samsung,OpenBox,8,128,Unlocked,994.04,113.16,4.37,1,51,0,0
Apple,New,12,512,T-Mobile,784.28,25.83,4.13,1,80,0,0
OnePlus,New,8,64,Unlocked,897.76,74.47,4.72,0,55,0,0
OnePlus,New,12,512,Unlocked,438.58,106.29,4.31,0,15,0,0
Apple,New,6,256,T-Mobile,576.6,44.79,4.36,0,115,0,0
Samsung,New,8,128,AT&T,764.17,47.65,4.92,1,55,0,0
Apple,New,8,256,AT&T,1152.61,0.0,4.8,1,14,0,0
Samsung,New,8,256,AT&T,966.0,0.0,4.31,0,1,1,0
Apple,New,8,128,Unlocked,878.57,57.56,4.24,0,25,1,1
Samsung,New,12,128,AT&T,646.65,87.64,4.23,0,81,0,0
Google,New,8,256,Unlocked,606.62,14.28,3.39,0,40,0,1
Google,New,12,128,T-Mobile,910.86,162.67,4.95,0,63,1,1
Apple,Refurbished,6,128,Unlocked,1004.15,17.2,4.06,2,20,0,0
OnePlus,Refurbished,8,128,Unlocked,895.97,134.75,4.83,0,108,1,0
Apple,New,8,256,Unlocked,1226.1,105.12,4.42,3,116,1,0
Apple,New,8,128,AT&T,699.86,210.58,5.0,0,113,0,0
Samsung,New,6,256,Unlocked,889.46,112.39,4.66,1,75,0,0
Samsung,OpenBox,16,128,AT&T,477.5,0.0,4.86,0,12,1,0
OnePlus,New,16,128,Unlocked,896.43,143.26,4.1,1,15,0,1
Google,OpenBox,12,256,Unlocked,1173.26,181.85,3.76,1,11,0,0
Apple,New,12,128,Verizon,620.87,0.0,4.47,1,60,0,0
Xiaomi,New,6,256,Unlocked,1035.27,118.35,3.44,0,107,0,1
Apple,OpenBox,8,128,Verizon,1167.03,131.62,4.17,1,95,0,0
Samsung,New,8,256,T-Mobile,698.26,67.23,3.81,0,61,0,1
Apple,OpenBox,12,128,Verizon,952.73,0.0,3.98,0,90,1,0
Xiaomi,New,6,256,Unlocked,1197.52,62.24,4.7,3,56,0,0
Apple,New,8,64,Unlocked,900.7,45.14,4.66,1,75,1,0
Apple,New,12,512,T-Mobile,1023.08,171.79,4.32,1,68,1,0
Samsung,New,6,128,Verizon,459.73,74.68,4.56,1,72,0,0
Xiaomi,New,12,64,AT&T,981.37,55.26,4.13,2,56,1,0
OnePlus,New,8,256,Unlocked,963.79,44.81,5.0,0,89,0,0
Google,New,12,128,AT&T,558.23,99.54,4.55,0,74,0,1
OnePlus,New,12,128,Unlocked,637.85,83.41,4.1,1,33,0,0
OnePlus,New,8,256,AT&T,982.88,32.6,4.84,1,113,0,0
Samsung,New,8,256,T-Mobile,783.4,95.84,5.0,1,59,1,0
Apple,New,6,256,T-Mobile,1094.63,46.56,4.01,2,73,0,0
Google,New,6,512,Unlocked,918.36,0.0,3.69,0,64,0,0
Samsung,OpenBox,6,128,AT&T,862.42,120.08,3.79,3,39,1,0
Samsung,New,8,64,Unlocked,812.5,114.39,4.07,1,10,1,0
Apple,New,8,256,Unlocked,914.39,91.98,4.37,0,26,1,0
Google,OpenBox,8,128,Verizon,1026.65,53.45,3.59,1,114,0,0
Apple,New,8,128,Unlocked,967.45,75.68,4.19,0,115,0,0
Xiaomi,New,16,64,Unlocked,756.94,129.16,4.3,0,20,0,0
Apple,New,6,128,Verizon,1122.68,42.09,4.56,0,69,0,1
Apple,New,8,128,Verizon,994.69,131.58,4.71,1,31,1,0
OnePlus,New,8,128,Verizon,934.75,0.0,4.6,0,68,0,0
Apple,OpenBox,6,256,Unlocked,870.17,90.09,5.0,2,78,1,0
Apple,Refurbished,16,256,AT&T,960.01,81.55,4.95,0,4,0,0
Samsung,New,6,512,Unlocked,447.03,140.16,4.51,3,114,0,0
OnePlus,New,12,64,Unlocked,903.09,24.86,3.91,0,110,0,0
Apple,OpenBox,8,128,Unlocked,1210.84,31.41,4.06,1,114,0,0
Apple,New,12,256,AT&T,898.4,0.0,3.69,1,56,1,0
Google,New,12,64,Unlocked,868.37,46.0,4.48,0,86,0,1
Xiaomi,New,12,128,Unlocked,718.91,95.33,4.57,2,119,1,0
Samsung,New,8,256,T-Mobile,958.4,0.0,4.85,0,23,1,0
Apple,New,8,256,T-Mobile,807.08,53.43,4.53,1,20,0,0
Apple,New,12,128,Verizon,1138.05,116.65,4.93,0,96,0,0
Apple,New,8,256,AT&T,660.0,73.83,4.94,0,39,0,0
Apple,New,8,256,T-Mobile,750.49,84.51,3.89,0,22,0,0
Samsung,Refurbished,8,512,Verizon,717.81,0.0,4.14,0,25,0,0
Apple,New,8,128,Unlocked,1253.61,74.0,4.39,0,82,0,0
Samsung,New,8,256,Verizon,808.25,81.72,4.05,0,46,1,0
Google,New,6,256,T-Mobile,729.42,70.18,4.28,0,37,1,0
Samsung,New,8,128,Verizon,390.07,89.17,4.55,0,117,0,0
Apple,Refurbished,6,256,Unlocked,649.5,61.45,4.34,2,117,0,0
Google,Refurbished,8,256,T-Mobile,966.13,52.64,4.4,1,50,0,0
Google,New,12,128,AT&T,965.25,17.61,3.93,0,28,0,0
Google,New,8,128,Unlocked,706.74,138.47,4.65,0,99,0,0
Apple,New,12,128,T-Mobile,718.96,6.4,4.62,1,90,0,0
Apple,New,6,256,AT&T,1259.17,89.48,4.02,2,90,1,0
Xiaomi,New,6,64,AT&T,1443.2,188.79,3.75,1,26,0,0
Samsung,New,12,256,T-Mobile,1102.95,146.09,5.0,2,36,0,0
Apple,New,12,128,Unlocked,1193.04,110.56,5.0,0,10,1,0
Samsung,New,12,256,AT&T,1239.71,94.98,4.52,1,70,0,0
Samsung,New,12,256,Unlocked,1337.21,72.33,4.22,1,6,0,0
Xiaomi,New,12,256,T-Mobile,783.58,25.92,4.92,0,102,0,0
Apple,New,12,256,T-Mobile,656.78,64.77,4.64,0,38,0,0
Xiaomi,New,12,128,AT&T,1253.37,114.49,4.29,0,73,0,0
Apple,New,12,128,AT&T,637.86,103.38,4.88,1,20,1,1
Samsung,New,6,256,AT&T,623.71,127.32,4.0,1,32,0,0
Samsung,New,6,128,Unlocked,628.76,153.18,4.05,0,33,0,0
Apple,New,8,256,Unlocked,821.09,70.49,4.58,0,103,0,0
Apple,OpenBox,8,256,Unlocked,413.44,91.51,4.46,1,117,1,0
Samsung,Refurbished,12,512,AT&T,534.72,0.0,4.72,0,67,0,0
Xiaomi,New,8,128,Verizon,713.09,215.37,5.0,1,13,1,1
Samsung,New,8,256,Verizon,586.9,55.17,3.62,1,117,1,0
Xiaomi,OpenBox,12,64,Unlocked,1083.73,119.1,4.42,1,35,0,0
Google,New,8,512,Verizon,851.46,55.13,5.0,0,79,0,0
Samsung,New,12,256,Unlocked,976.94,53.74,4.1,2,28,0,0
Google,New,6,256,T-Mobile,952.86,65.78,4.04,1,54,0,0
Apple,New,8,256,T-Mobile,804.51,5.29,3.28,0,5,0,0
Apple,New,8,128,Unlocked,1067.39,0.0,4.45,2,52,0,0
OnePlus,New,8,256,AT&T,949.47,149.58,4.69,2,81,0,0
Google,New,6,256,Unlocked,779.95,112.74,4.69,0,105,1,0
Apple,New,8,64,Unlocked,479.54,25.05,3.88,0,114,0,0
Samsung,New,8,512,Verizon,964.54,107.11,4.4,0,117,1,0
Samsung,New,8,512,AT&T,572.51,129.44,4.51,0,116,0,0
OnePlus,New,12,512,Unlocked,933.66,38.42,4.43,1,49,0,0
Samsung,New,6,256,Unlocked,867.36,104.71,3.85,0,32,1,0
Samsung,New,8,128,Unlocked,550.72,140.41,4.44,1,20,0,0
Samsung,New,6,256,Unlocked,906.85,0.0,3.99,1,20,0,0
Samsung,OpenBox,16,128,Unlocked,892.09,112.0,3.46,1,5,0,0
Samsung,New,12,256,Unlocked,892.89,101.86,4.74,0,85,1,1
OnePlus,New,16,128,T-Mobile,882.34,192.83,4.47,1,39,0,0
Samsung,New,16,512,Unlocked,706.47,113.42,4.7,1,61,0,0
Apple,OpenBox,8,128,Unlocked,980.15,55.35,4.13,0,41,0,0
Apple,OpenBox,12,128,Unlocked,698.72,62.29,4.71,1,65,0,0
Google,OpenBox,8,64,Unlocked,613.59,201.4,4.91,0,51,0,0
Google,New,12,256,AT&T,998.42,58.71,5.0,0,70,0,1
Apple,New,8,128,Unlocked,1056.01,115.17,4.81,1,18,0,0
Apple,New,8,128,Unlocked,983.36,65.7,4.59,1,108,0,0
Samsung,New,16,128,T-Mobile,804.42,144.88,3.71,1,59,0,1
Apple,New,12,128,AT&T,423.32,147.84,4.35,1,83,1,0
OnePlus,New,16,512,Unlocked,1175.97,78.64,3.69,1,113,0,0
Apple,New,6,128,Unlocked,419.88,55.59,3.99,0,11,0,0
Apple,OpenBox,8,128,AT&T,978.93,54.16,5.0,0,28,1,0
Xiaomi,New,8,128,Verizon,1314.25,0.0,3.89,0,65,0,0
Apple,New,8,64,T-Mobile,882.88,86.03,3.23,0,82,0,0
Apple,New,8,128,Unlocked,914.07,84.82,4.81,1,57,1,0
Apple,OpenBox,8,128,AT&T,933.45,31.03,4.06,1,5,0,0
Apple,Refurbished,12,64,Unlocked,893.6,0.0,4.78,1,83,0,0
Apple,New,8,128,Unlocked,1367.13,92.38,3.81,1,77,0,0
Apple,Refurbished,12,128,AT&T,664.5,99.96,4.19,0,2,0,1
Apple,OpenBox,12,256,AT&T,636.88,103.68,5.0,0,112,1,1
Apple,OpenBox,8,64,Unlocked,777.95,20.6,3.74,1,106,0,0
Samsung,OpenBox,8,256,Unlocked,1232.98,103.81,4.32,0,34,0,0
Google,New,6,256,AT&T,723.09,69.29,4.55,2,73,1,0
Samsung,OpenBox,6,512,Unlocked,944.67,131.87,4.04,0,98,0,0
Apple,New,12,128,Unlocked,1085.62,21.51,4.52,1,54,1,0
Samsung,OpenBox,8,256,Unlocked,1021.38,149.01,4.41,1,10,0,0
OnePlus,New,6,512,Unlocked,1073.98,170.6,4.67,1,49,1,0
OnePlus,OpenBox,16,512,AT&T,1161.96,86.96,5.0,0,43,0,0
Apple,Refurbished,12,256,Unlocked,917.81,104.22,5.0,0,97,0,1
Apple,New,12,128,Unlocked,749.45,127.03,4.63,0,1,0,0
Apple,Refurbished,8,512,Verizon,882.39,18.46,4.34,0,113,0,0
Apple,New,16,256,Unlocked,775.41,50.82,4.62,0,43,1,0
Samsung,New,6,128,Verizon,1404.74,91.05,4.28,0,46,0,0
Samsung,New,6,128,Unlocked,732.82,201.61,3.61,0,37,0,0
Apple,OpenBox,12,512,AT&T,956.29,8.23,4.38,2,3,0,0
Samsung,New,12,128,AT&T,519.81,178.26,4.94,1,83,0,0
Samsung,New,8,256,AT&T,879.22,68.41,3.67,0,89,0,0
Apple,New,6,128,Unlocked,786.84,77.93,3.91,1,36,1,0
OnePlus,New,8,256,AT&T,998.65,153.08,4.11,0,15,1,0
Apple,New,12,64,Verizon,1004.39,201.29,4.59,1,98,1,0
Xiaomi,OpenBox,12,256,Unlocked,1161.74,105.37,5.0,0,83,0,0
Apple,New,8,256,Unlocked,1144.27,149.88,4.0,1,35,0,0
OnePlus,OpenBox,6,512,Unlocked,835.41,24.78,4.45,0,80,0,1
OnePlus,New,12,128,Unlocked,642.24,48.23,4.4,3,27,1,1
Xiaomi,Refurbished,12,128,Unlocked,668.04,0.0,4.25,2,76,0,0
Google,New,8,128,T-Mobile,916.6,49.06,4.38,0,59,1,0
Google,New,8,64,T-Mobile,884.71,113.91,4.17,1,23,0,0
Samsung,New,16,512,Unlocked,906.74,92.73,5.0,1,79,0,0
Google,New,8,128,T-Mobile,732.28,183.63,4.77,1,22,0,0
Apple,New,8,128,AT&T,1166.19,203.28,4.17,0,106,0,0
Samsung,OpenBox,8,256,Unlocked,526.01,71.81,4.99,0,13,1,0
Samsung,New,8,128,T-Mobile,720.1,39.22,4.53,1,97,0,1
OnePlus,New,12,128,AT&T,613.04,149.6,4.43,0,35,0,0
Samsung,New,8,256,Verizon,804.03,155.85,4.31,0,63,0,0
Samsung,Refurbished,8,128,Unlocked,1124.24,106.47,4.27,0,102,0,0
Samsung,New,6,256,Unlocked,786.69,122.33,3.79,0,117,0,0
Apple,New,12,256,T-Mobile,872.33,112.95,3.56,0,60,0,0
Apple,New,6,128,Unlocked,996.13,20.67,4.59,0,36,0,0
Samsung,New,6,256,Unlocked,776.23,6.89,4.3,0,89,0,0
Samsung,New,8,512,Unlocked,934.18,76.95,4.84,1,119,0,0
Apple,New,8,128,Unlocked,905.17,67.95,3.96,0,36,0,0
Samsung,New,16,256,Unlocked,601.22,96.62,3.85,1,46,1,0
Samsung,New,12,128,T-Mobile,747.85,72.13,4.79,0,99,0,1
Apple,New,12,256,Unlocked,928.01,0.0,4.25,0,32,0,0
Samsung,New,8,256,T-Mobile,1132.08,0.0,4.83,0,68,0,0
Google,Refurbished,8,64,Verizon,1131.88,124.25,4.42,1,46,0,0
Apple,New,16,128,Unlocked,1311.01,40.23,5.0,1,61,0,1
Xiaomi,New,8,64,Unlocked,956.8,66.07,4.78,2,70,1,1
OnePlus,New,12,256,Unlocked,759.07,46.52,4.6,1,62,0,1
Samsung,New,8,256,T-Mobile,835.93,25.22,4.8,0,57,0,0
Apple,OpenBox,8,128,AT&T,824.97,23.61,4.26,1,46,1,1
Samsung,New,8,64,Unlocked,760.27,141.19,3.58,2,6,1,0
OnePlus,New,8,512,T-Mobile,934.25,65.65,4.58,1,94,0,0
Samsung,New,6,128,AT&T,944.49,118.09,5.0,0,43,1,1
Google,New,8,128,Unlocked,591.77,126.15,3.25,1,9,0,0
Samsung,Refurbished,6,128,Verizon,1089.4,98.99,4.63,0,59,1,1
Samsung,New,8,256,AT&T,445.9,128.12,3.63,0,98,0,0
Apple,New,12,128,AT&T,801.05,80.86,4.39,0,79,0,1
Google,OpenBox,8,256,Unlocked,1102.85,161.83,4.44,0,71,1,0
Apple,OpenBox,12,256,Unlocked,983.63,129.4,4.77,1,114,1,0
Google,New,8,64,Unlocked,771.47,137.39,4.51,3,81,0,0
OnePlus,New,6,256,Unlocked,1283.14,23.69,5.0,1,114,0,0
Apple,New,6,128,Unlocked,753.18,95.79,4.98,0,107,1,0
Samsung,OpenBox,16,64,Verizon,409.57,0.0,4.3,0,62,0,0
Apple,New,8,256,Unlocked,949.6,164.06,4.95,0,9,0,0
Google,New,16,128,Unlocked,458.73,42.6,4.24,1,68,0,1
Apple,OpenBox,8,512,Verizon,667.08,50.92,4.16,1,113,1,0
Xiaomi,New,12,256,Unlocked,987.01,0.0,3.8,1,84,0,0
Apple,New,12,128,Unlocked,748.61,77.82,5.0,0,27,1,0
Xiaomi,New,16,512,AT&T,977.73,63.9,4.25,1,100,0,0
Google,OpenBox,6,256,T-Mobile,595.22,189.36,3.19,1,100,0,0
Samsung,New,16,128,Unlocked,1038.87,131.55,4.67,1,89,1,1
Google,New,8,256,T-Mobile,477.99,49.12,4.18,1,19,0,0
Google,New,12,512,T-Mobile,1140.1,0.0,4.25,1,86,0,0
Xiaomi,OpenBox,8,128,Verizon,745.42,0.0,4.28,1,103,1,0
Apple,OpenBox,8,128,T-Mobile,1186.85,18.42,4.23,0,54,1,1
Samsung,New,8,128,Unlocked,665.09,0.13,5.0,1,82,1,0
Apple,New,12,128,Unlocked,1273.45,100.92,5.0,0,104,0,0
Samsung,Refurbished,8,128,AT&T,639.31,71.3,4.75,1,88,1,0
Apple,OpenBox,8,256,Unlocked,455.33,81.04,4.52,2,79,0,0
Samsung,New,8,512,Unlocked,859.48,23.06,4.96,2,50,0,0
Samsung,New,12,256,Unlocked,1121.48,89.12,4.52,1,19,0,0
Samsung,Refurbished,8,64,Unlocked,1023.97,0.0,4.81,1,33,0,0
Samsung,Refurbished,12,128,Unlocked,1105.85,74.7,4.68,0,72,0,0
Google,New,8,64,Unlocked,1028.31,129.81,4.46,1,88,0,1
Google,New,12,128,T-Mobile,669.54,58.07,4.87,0,37,0,0
Samsung,New,12,256,Unlocked,1018.61,106.62,4.19,0,46,1,1
Samsung,OpenBox,12,128,AT&T,870.42,0.0,4.43,1,25,1,0
Xiaomi,New,12,256,Unlocked,693.86,0.0,3.91,0,42,0,0
Apple,New,8,128,Unlocked,889.46,99.64,3.97,0,78,1,0
Apple,New,6,256,T-Mobile,837.61,142.82,3.14,3,1,1,0
Apple,Refurbished,12,512,Unlocked,1161.52,65.71,4.63,0,77,1,0
Samsung,OpenBox,6,256,Unlocked,736.73,208.71,4.77,1,8,1,0
Samsung,Refurbished,8,512,AT&T,726.44,0.0,4.94,0,114,0,0
Google,New,12,256,Unlocked,696.3,39.2,3.85,1,88,1,1
